"disease","run_id","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"JE",1,2000,0,"PAK","Pakistan","","","",""
"JE",2,2000,0,"PAK","Pakistan","","","",""
"JE",3,2000,0,"PAK","Pakistan","","","",""
"JE",4,2000,0,"PAK","Pakistan","","","",""
"JE",5,2000,0,"PAK","Pakistan","","","",""
"JE",6,2000,0,"PAK","Pakistan","","","",""
"JE",7,2000,0,"PAK","Pakistan","","","",""
"JE",8,2000,0,"PAK","Pakistan","","","",""
"JE",9,2000,0,"PAK","Pakistan","","","",""
"JE",10,2000,0,"PAK","Pakistan","","","",""
"JE",11,2000,0,"PAK","Pakistan","","","",""
"JE",12,2000,0,"PAK","Pakistan","","","",""
"JE",13,2000,0,"PAK","Pakistan","","","",""
"JE",14,2000,0,"PAK","Pakistan","","","",""
"JE",15,2000,0,"PAK","Pakistan","","","",""
"JE",16,2000,0,"PAK","Pakistan","","","",""
"JE",17,2000,0,"PAK","Pakistan","","","",""
"JE",18,2000,0,"PAK","Pakistan","","","",""
"JE",19,2000,0,"PAK","Pakistan","","","",""
"JE",20,2000,0,"PAK","Pakistan","","","",""
"JE",1,2001,0,"PAK","Pakistan","","","",""
"JE",2,2001,0,"PAK","Pakistan","","","",""
"JE",3,2001,0,"PAK","Pakistan","","","",""
"JE",4,2001,0,"PAK","Pakistan","","","",""
"JE",5,2001,0,"PAK","Pakistan","","","",""
"JE",6,2001,0,"PAK","Pakistan","","","",""
"JE",7,2001,0,"PAK","Pakistan","","","",""
"JE",8,2001,0,"PAK","Pakistan","","","",""
"JE",9,2001,0,"PAK","Pakistan","","","",""
"JE",10,2001,0,"PAK","Pakistan","","","",""
"JE",11,2001,0,"PAK","Pakistan","","","",""
"JE",12,2001,0,"PAK","Pakistan","","","",""
"JE",13,2001,0,"PAK","Pakistan","","","",""
"JE",14,2001,0,"PAK","Pakistan","","","",""
"JE",15,2001,0,"PAK","Pakistan","","","",""
"JE",16,2001,0,"PAK","Pakistan","","","",""
"JE",17,2001,0,"PAK","Pakistan","","","",""
"JE",18,2001,0,"PAK","Pakistan","","","",""
"JE",19,2001,0,"PAK","Pakistan","","","",""
"JE",20,2001,0,"PAK","Pakistan","","","",""
"JE",1,2002,0,"PAK","Pakistan","","","",""
"JE",2,2002,0,"PAK","Pakistan","","","",""
"JE",3,2002,0,"PAK","Pakistan","","","",""
"JE",4,2002,0,"PAK","Pakistan","","","",""
