"disease","year","age","country","country_name","cohort_size","hepb_deaths_acute","hepb_deaths_total_cirrh","hepb_deaths_hcc","hepb_cases_acute_symp","hepb_cases_acute_fulminant","hepb_cases_chronic","hepb_infections_chronic","dalys","prev_HBsAg"
"HepB",2035,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2036,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2037,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2038,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2039,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2040,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2041,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2042,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2043,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2044,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2045,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2046,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2047,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2048,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2049,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2050,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2051,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2052,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2053,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2054,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2055,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2056,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2057,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2058,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2059,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2060,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2061,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2062,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2063,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2064,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2065,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2066,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2067,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2068,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2069,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2070,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2071,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2072,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2073,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2074,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2075,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2076,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2077,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2078,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2079,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2080,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2081,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2082,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2083,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2084,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2085,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2086,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2087,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2088,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2089,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2090,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2091,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2092,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2093,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2094,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2095,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2096,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2097,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2098,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2099,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2100,2,"PAK","Pakistan","","","","","","","","","",""
"HepB",2000,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2001,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2002,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2003,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2004,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2005,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2006,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2007,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2008,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2009,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2010,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2011,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2012,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2013,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2014,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2015,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2016,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2017,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2018,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2019,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2020,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2021,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2022,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2023,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2024,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2025,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2026,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2027,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2028,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2029,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2030,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2031,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2032,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2033,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2034,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2035,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2036,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2037,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2038,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2039,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2040,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2041,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2042,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2043,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2044,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2045,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2046,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2047,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2048,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2049,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2050,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2051,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2052,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2053,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2054,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2055,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2056,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2057,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2058,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2059,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2060,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2061,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2062,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2063,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2064,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2065,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2066,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2067,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2068,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2069,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2070,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2071,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2072,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2073,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2074,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2075,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2076,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2077,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2078,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2079,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2080,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2081,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2082,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2083,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2084,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2085,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2086,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2087,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2088,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2089,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2090,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2091,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2092,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2093,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2094,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2095,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2096,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2097,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2098,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2099,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2100,3,"PAK","Pakistan","","","","","","","","","",""
"HepB",2000,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2001,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2002,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2003,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2004,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2005,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2006,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2007,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2008,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2009,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2010,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2011,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2012,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2013,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2014,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2015,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2016,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2017,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2018,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2019,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2020,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2021,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2022,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2023,4,"PAK","Pakistan","","","","","","","","","",""
"HepB",2024,4,"PAK","Pakistan","","","","","","","","","",""
