"disease","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"MenA",2000,0,"ETH","Ethiopia","","","",""
"MenA",2001,0,"ETH","Ethiopia","","","",""
"MenA",2002,0,"ETH","Ethiopia","","","",""
"MenA",2003,0,"ETH","Ethiopia","","","",""
"MenA",2004,0,"ETH","Ethiopia","","","",""
"MenA",2005,0,"ETH","Ethiopia","","","",""
"MenA",2006,0,"ETH","Ethiopia","","","",""
"MenA",2007,0,"ETH","Ethiopia","","","",""
"MenA",2008,0,"ETH","Ethiopia","","","",""
"MenA",2009,0,"ETH","Ethiopia","","","",""
"MenA",2010,0,"ETH","Ethiopia","","","",""
"MenA",2011,0,"ETH","Ethiopia","","","",""
"MenA",2012,0,"ETH","Ethiopia","","","",""
"MenA",2013,0,"ETH","Ethiopia","","","",""
"MenA",2014,0,"ETH","Ethiopia","","","",""
"MenA",2015,0,"ETH","Ethiopia","","","",""
"MenA",2016,0,"ETH","Ethiopia","","","",""
"MenA",2017,0,"ETH","Ethiopia","","","",""
"MenA",2018,0,"ETH","Ethiopia","","","",""
"MenA",2019,0,"ETH","Ethiopia","","","",""
"MenA",2020,0,"ETH","Ethiopia","","","",""
"MenA",2021,0,"ETH","Ethiopia","","","",""
"MenA",2022,0,"ETH","Ethiopia","","","",""
"MenA",2023,0,"ETH","Ethiopia","","","",""
"MenA",2024,0,"ETH","Ethiopia","","","",""
"MenA",2025,0,"ETH","Ethiopia","","","",""
"MenA",2026,0,"ETH","Ethiopia","","","",""
"MenA",2027,0,"ETH","Ethiopia","","","",""
"MenA",2028,0,"ETH","Ethiopia","","","",""
"MenA",2029,0,"ETH","Ethiopia","","","",""
"MenA",2030,0,"ETH","Ethiopia","","","",""
"MenA",2031,0,"ETH","Ethiopia","","","",""
"MenA",2032,0,"ETH","Ethiopia","","","",""
"MenA",2033,0,"ETH","Ethiopia","","","",""
"MenA",2034,0,"ETH","Ethiopia","","","",""
"MenA",2035,0,"ETH","Ethiopia","","","",""
"MenA",2036,0,"ETH","Ethiopia","","","",""
"MenA",2037,0,"ETH","Ethiopia","","","",""
"MenA",2038,0,"ETH","Ethiopia","","","",""
"MenA",2039,0,"ETH","Ethiopia","","","",""
"MenA",2040,0,"ETH","Ethiopia","","","",""
"MenA",2041,0,"ETH","Ethiopia","","","",""
"MenA",2042,0,"ETH","Ethiopia","","","",""
"MenA",2043,0,"ETH","Ethiopia","","","",""
"MenA",2044,0,"ETH","Ethiopia","","","",""
"MenA",2045,0,"ETH","Ethiopia","","","",""
"MenA",2046,0,"ETH","Ethiopia","","","",""
"MenA",2047,0,"ETH","Ethiopia","","","",""
"MenA",2048,0,"ETH","Ethiopia","","","",""
"MenA",2049,0,"ETH","Ethiopia","","","",""
"MenA",2050,0,"ETH","Ethiopia","","","",""
"MenA",2051,0,"ETH","Ethiopia","","","",""
"MenA",2052,0,"ETH","Ethiopia","","","",""
"MenA",2053,0,"ETH","Ethiopia","","","",""
"MenA",2054,0,"ETH","Ethiopia","","","",""
"MenA",2055,0,"ETH","Ethiopia","","","",""
"MenA",2056,0,"ETH","Ethiopia","","","",""
"MenA",2057,0,"ETH","Ethiopia","","","",""
"MenA",2058,0,"ETH","Ethiopia","","","",""
"MenA",2059,0,"ETH","Ethiopia","","","",""
"MenA",2060,0,"ETH","Ethiopia","","","",""
"MenA",2061,0,"ETH","Ethiopia","","","",""
"MenA",2062,0,"ETH","Ethiopia","","","",""
"MenA",2063,0,"ETH","Ethiopia","","","",""
"MenA",2064,0,"ETH","Ethiopia","","","",""
"MenA",2065,0,"ETH","Ethiopia","","","",""
"MenA",2066,0,"ETH","Ethiopia","","","",""
"MenA",2067,0,"ETH","Ethiopia","","","",""
"MenA",2068,0,"ETH","Ethiopia","","","",""
"MenA",2069,0,"ETH","Ethiopia","","","",""
"MenA",2070,0,"ETH","Ethiopia","","","",""
"MenA",2071,0,"ETH","Ethiopia","","","",""
"MenA",2072,0,"ETH","Ethiopia","","","",""
"MenA",2073,0,"ETH","Ethiopia","","","",""
