"disease","run_id","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"PCV",14,2005,0,"PAK","Pakistan","","","",""
"PCV",15,2005,0,"PAK","Pakistan","","","",""
"PCV",16,2005,0,"PAK","Pakistan","","","",""
"PCV",17,2005,0,"PAK","Pakistan","","","",""
"PCV",18,2005,0,"PAK","Pakistan","","","",""
"PCV",19,2005,0,"PAK","Pakistan","","","",""
"PCV",20,2005,0,"PAK","Pakistan","","","",""
"PCV",1,2006,0,"PAK","Pakistan","","","",""
"PCV",2,2006,0,"PAK","Pakistan","","","",""
"PCV",3,2006,0,"PAK","Pakistan","","","",""
"PCV",4,2006,0,"PAK","Pakistan","","","",""
"PCV",5,2006,0,"PAK","Pakistan","","","",""
"PCV",6,2006,0,"PAK","Pakistan","","","",""
"PCV",7,2006,0,"PAK","Pakistan","","","",""
"PCV",8,2006,0,"PAK","Pakistan","","","",""
"PCV",9,2006,0,"PAK","Pakistan","","","",""
"PCV",10,2006,0,"PAK","Pakistan","","","",""
"PCV",11,2006,0,"PAK","Pakistan","","","",""
"PCV",12,2006,0,"PAK","Pakistan","","","",""
"PCV",13,2006,0,"PAK","Pakistan","","","",""
"PCV",14,2006,0,"PAK","Pakistan","","","",""
"PCV",15,2006,0,"PAK","Pakistan","","","",""
"PCV",16,2006,0,"PAK","Pakistan","","","",""
"PCV",17,2006,0,"PAK","Pakistan","","","",""
"PCV",18,2006,0,"PAK","Pakistan","","","",""
"PCV",19,2006,0,"PAK","Pakistan","","","",""
"PCV",20,2006,0,"PAK","Pakistan","","","",""
"PCV",1,2007,0,"PAK","Pakistan","","","",""
"PCV",2,2007,0,"PAK","Pakistan","","","",""
"PCV",3,2007,0,"PAK","Pakistan","","","",""
"PCV",4,2007,0,"PAK","Pakistan","","","",""
"PCV",5,2007,0,"PAK","Pakistan","","","",""
"PCV",6,2007,0,"PAK","Pakistan","","","",""
"PCV",7,2007,0,"PAK","Pakistan","","","",""
"PCV",8,2007,0,"PAK","Pakistan","","","",""
"PCV",9,2007,0,"PAK","Pakistan","","","",""
"PCV",10,2007,0,"PAK","Pakistan","","","",""
"PCV",11,2007,0,"PAK","Pakistan","","","",""
