"disease","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"JE",2000,0,"PAK","Pakistan","","","",""
"JE",2001,0,"PAK","Pakistan","","","",""
"JE",2002,0,"PAK","Pakistan","","","",""
"JE",2003,0,"PAK","Pakistan","","","",""
"JE",2004,0,"PAK","Pakistan","","","",""
"JE",2005,0,"PAK","Pakistan","","","",""
"JE",2006,0,"PAK","Pakistan","","","",""
"JE",2007,0,"PAK","Pakistan","","","",""
"JE",2008,0,"PAK","Pakistan","","","",""
"JE",2009,0,"PAK","Pakistan","","","",""
"JE",2010,0,"PAK","Pakistan","","","",""
"JE",2011,0,"PAK","Pakistan","","","",""
"JE",2012,0,"PAK","Pakistan","","","",""
"JE",2013,0,"PAK","Pakistan","","","",""
"JE",2014,0,"PAK","Pakistan","","","",""
"JE",2015,0,"PAK","Pakistan","","","",""
"JE",2016,0,"PAK","Pakistan","","","",""
"JE",2017,0,"PAK","Pakistan","","","",""
"JE",2018,0,"PAK","Pakistan","","","",""
"JE",2019,0,"PAK","Pakistan","","","",""
"JE",2020,0,"PAK","Pakistan","","","",""
"JE",2021,0,"PAK","Pakistan","","","",""
"JE",2022,0,"PAK","Pakistan","","","",""
"JE",2023,0,"PAK","Pakistan","","","",""
"JE",2024,0,"PAK","Pakistan","","","",""
"JE",2025,0,"PAK","Pakistan","","","",""
"JE",2026,0,"PAK","Pakistan","","","",""
"JE",2027,0,"PAK","Pakistan","","","",""
"JE",2028,0,"PAK","Pakistan","","","",""
"JE",2029,0,"PAK","Pakistan","","","",""
"JE",2030,0,"PAK","Pakistan","","","",""
"JE",2031,0,"PAK","Pakistan","","","",""
"JE",2032,0,"PAK","Pakistan","","","",""
"JE",2033,0,"PAK","Pakistan","","","",""
"JE",2034,0,"PAK","Pakistan","","","",""
"JE",2035,0,"PAK","Pakistan","","","",""
"JE",2036,0,"PAK","Pakistan","","","",""
"JE",2037,0,"PAK","Pakistan","","","",""
"JE",2038,0,"PAK","Pakistan","","","",""
"JE",2039,0,"PAK","Pakistan","","","",""
"JE",2040,0,"PAK","Pakistan","","","",""
"JE",2041,0,"PAK","Pakistan","","","",""
"JE",2042,0,"PAK","Pakistan","","","",""
"JE",2043,0,"PAK","Pakistan","","","",""
"JE",2044,0,"PAK","Pakistan","","","",""
"JE",2000,1,"PAK","Pakistan","","","",""
"JE",2001,1,"PAK","Pakistan","","","",""
"JE",2002,1,"PAK","Pakistan","","","",""
"JE",2003,1,"PAK","Pakistan","","","",""
"JE",2004,1,"PAK","Pakistan","","","",""
"JE",2005,1,"PAK","Pakistan","","","",""
"JE",2006,1,"PAK","Pakistan","","","",""
"JE",2007,1,"PAK","Pakistan","","","",""
"JE",2008,1,"PAK","Pakistan","","","",""
"JE",2009,1,"PAK","Pakistan","","","",""
"JE",2010,1,"PAK","Pakistan","","","",""
"JE",2011,1,"PAK","Pakistan","","","",""
"JE",2012,1,"PAK","Pakistan","","","",""
