"disease","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"Measles",2011,2,"PAK","Pakistan","","","",""
"Measles",2012,2,"PAK","Pakistan","","","",""
"Measles",2013,2,"PAK","Pakistan","","","",""
"Measles",2014,2,"PAK","Pakistan","","","",""
"Measles",2015,2,"PAK","Pakistan","","","",""
"Measles",2016,2,"PAK","Pakistan","","","",""
"Measles",2017,2,"PAK","Pakistan","","","",""
"Measles",2018,2,"PAK","Pakistan","","","",""
"Measles",2019,2,"PAK","Pakistan","","","",""
"Measles",2020,2,"PAK","Pakistan","","","",""
"Measles",2021,2,"PAK","Pakistan","","","",""
"Measles",2022,2,"PAK","Pakistan","","","",""
"Measles",2023,2,"PAK","Pakistan","","","",""
"Measles",2024,2,"PAK","Pakistan","","","",""
"Measles",2025,2,"PAK","Pakistan","","","",""
"Measles",2026,2,"PAK","Pakistan","","","",""
"Measles",2027,2,"PAK","Pakistan","","","",""
"Measles",2028,2,"PAK","Pakistan","","","",""
"Measles",2029,2,"PAK","Pakistan","","","",""
"Measles",2030,2,"PAK","Pakistan","","","",""
"Measles",2031,2,"PAK","Pakistan","","","",""
"Measles",2032,2,"PAK","Pakistan","","","",""
"Measles",2033,2,"PAK","Pakistan","","","",""
"Measles",2034,2,"PAK","Pakistan","","","",""
"Measles",2035,2,"PAK","Pakistan","","","",""
"Measles",2036,2,"PAK","Pakistan","","","",""
"Measles",2037,2,"PAK","Pakistan","","","",""
"Measles",2038,2,"PAK","Pakistan","","","",""
"Measles",2039,2,"PAK","Pakistan","","","",""
"Measles",2040,2,"PAK","Pakistan","","","",""
"Measles",2041,2,"PAK","Pakistan","","","",""
"Measles",2042,2,"PAK","Pakistan","","","",""
"Measles",2043,2,"PAK","Pakistan","","","",""
"Measles",2044,2,"PAK","Pakistan","","","",""
"Measles",2045,2,"PAK","Pakistan","","","",""
"Measles",2046,2,"PAK","Pakistan","","","",""
"Measles",2047,2,"PAK","Pakistan","","","",""
"Measles",2048,2,"PAK","Pakistan","","","",""
"Measles",2049,2,"PAK","Pakistan","","","",""
"Measles",2050,2,"PAK","Pakistan","","","",""
"Measles",2051,2,"PAK","Pakistan","","","",""
"Measles",2052,2,"PAK","Pakistan","","","",""
"Measles",2053,2,"PAK","Pakistan","","","",""
"Measles",2054,2,"PAK","Pakistan","","","",""
"Measles",2000,3,"PAK","Pakistan","","","",""
"Measles",2001,3,"PAK","Pakistan","","","",""
"Measles",2002,3,"PAK","Pakistan","","","",""
"Measles",2003,3,"PAK","Pakistan","","","",""
"Measles",2004,3,"PAK","Pakistan","","","",""
"Measles",2005,3,"PAK","Pakistan","","","",""
"Measles",2006,3,"PAK","Pakistan","","","",""
"Measles",2007,3,"PAK","Pakistan","","","",""
"Measles",2008,3,"PAK","Pakistan","","","",""
"Measles",2009,3,"PAK","Pakistan","","","",""
"Measles",2010,3,"PAK","Pakistan","","","",""
"Measles",2011,3,"PAK","Pakistan","","","",""
"Measles",2012,3,"PAK","Pakistan","","","",""
"Measles",2013,3,"PAK","Pakistan","","","",""
"Measles",2014,3,"PAK","Pakistan","","","",""
"Measles",2015,3,"PAK","Pakistan","","","",""
"Measles",2016,3,"PAK","Pakistan","","","",""
"Measles",2017,3,"PAK","Pakistan","","","",""
"Measles",2018,3,"PAK","Pakistan","","","",""
"Measles",2019,3,"PAK","Pakistan","","","",""
"Measles",2020,3,"PAK","Pakistan","","","",""
"Measles",2021,3,"PAK","Pakistan","","","",""
"Measles",2022,3,"PAK","Pakistan","","","",""
"Measles",2023,3,"PAK","Pakistan","","","",""
"Measles",2024,3,"PAK","Pakistan","","","",""
"Measles",2025,3,"PAK","Pakistan","","","",""
"Measles",2026,3,"PAK","Pakistan","","","",""
"Measles",2027,3,"PAK","Pakistan","","","",""
"Measles",2028,3,"PAK","Pakistan","","","",""
"Measles",2029,3,"PAK","Pakistan","","","",""
"Measles",2030,3,"PAK","Pakistan","","","",""
"Measles",2031,3,"PAK","Pakistan","","","",""
"Measles",2032,3,"PAK","Pakistan","","","",""
"Measles",2033,3,"PAK","Pakistan","","","",""
"Measles",2034,3,"PAK","Pakistan","","","",""
"Measles",2035,3,"PAK","Pakistan","","","",""
"Measles",2036,3,"PAK","Pakistan","","","",""
"Measles",2037,3,"PAK","Pakistan","","","",""
"Measles",2038,3,"PAK","Pakistan","","","",""
"Measles",2039,3,"PAK","Pakistan","","","",""
"Measles",2040,3,"PAK","Pakistan","","","",""
"Measles",2041,3,"PAK","Pakistan","","","",""
"Measles",2042,3,"PAK","Pakistan","","","",""
"Measles",2043,3,"PAK","Pakistan","","","",""
"Measles",2044,3,"PAK","Pakistan","","","",""
"Measles",2045,3,"PAK","Pakistan","","","",""
"Measles",2046,3,"PAK","Pakistan","","","",""
"Measles",2047,3,"PAK","Pakistan","","","",""
"Measles",2048,3,"PAK","Pakistan","","","",""
"Measles",2049,3,"PAK","Pakistan","","","",""
"Measles",2050,3,"PAK","Pakistan","","","",""
"Measles",2051,3,"PAK","Pakistan","","","",""
"Measles",2052,3,"PAK","Pakistan","","","",""
"Measles",2053,3,"PAK","Pakistan","","","",""
"Measles",2054,3,"PAK","Pakistan","","","",""
"Measles",2000,4,"PAK","Pakistan","","","",""
"Measles",2001,4,"PAK","Pakistan","","","",""
"Measles",2002,4,"PAK","Pakistan","","","",""
"Measles",2003,4,"PAK","Pakistan","","","",""
"Measles",2004,4,"PAK","Pakistan","","","",""
"Measles",2005,4,"PAK","Pakistan","","","",""
"Measles",2006,4,"PAK","Pakistan","","","",""
"Measles",2007,4,"PAK","Pakistan","","","",""
"Measles",2008,4,"PAK","Pakistan","","","",""
"Measles",2009,4,"PAK","Pakistan","","","",""
"Measles",2010,4,"PAK","Pakistan","","","",""
"Measles",2011,4,"PAK","Pakistan","","","",""
"Measles",2012,4,"PAK","Pakistan","","","",""
"Measles",2013,4,"PAK","Pakistan","","","",""
"Measles",2014,4,"PAK","Pakistan","","","",""
"Measles",2015,4,"PAK","Pakistan","","","",""
"Measles",2016,4,"PAK","Pakistan","","","",""
"Measles",2017,4,"PAK","Pakistan","","","",""
"Measles",2018,4,"PAK","Pakistan","","","",""
"Measles",2019,4,"PAK","Pakistan","","","",""
"Measles",2020,4,"PAK","Pakistan","","","",""
"Measles",2021,4,"PAK","Pakistan","","","",""
"Measles",2022,4,"PAK","Pakistan","","","",""
"Measles",2023,4,"PAK","Pakistan","","","",""
"Measles",2024,4,"PAK","Pakistan","","","",""
"Measles",2025,4,"PAK","Pakistan","","","",""
"Measles",2026,4,"PAK","Pakistan","","","",""
"Measles",2027,4,"PAK","Pakistan","","","",""
"Measles",2028,4,"PAK","Pakistan","","","",""
"Measles",2029,4,"PAK","Pakistan","","","",""
"Measles",2030,4,"PAK","Pakistan","","","",""
"Measles",2031,4,"PAK","Pakistan","","","",""
"Measles",2032,4,"PAK","Pakistan","","","",""
"Measles",2033,4,"PAK","Pakistan","","","",""
"Measles",2034,4,"PAK","Pakistan","","","",""
"Measles",2035,4,"PAK","Pakistan","","","",""
"Measles",2036,4,"PAK","Pakistan","","","",""
"Measles",2037,4,"PAK","Pakistan","","","",""
"Measles",2038,4,"PAK","Pakistan","","","",""
"Measles",2039,4,"PAK","Pakistan","","","",""
"Measles",2040,4,"PAK","Pakistan","","","",""
"Measles",2041,4,"PAK","Pakistan","","","",""
"Measles",2042,4,"PAK","Pakistan","","","",""
"Measles",2043,4,"PAK","Pakistan","","","",""
"Measles",2044,4,"PAK","Pakistan","","","",""
"Measles",2045,4,"PAK","Pakistan","","","",""
"Measles",2046,4,"PAK","Pakistan","","","",""
"Measles",2047,4,"PAK","Pakistan","","","",""
"Measles",2048,4,"PAK","Pakistan","","","",""
"Measles",2049,4,"PAK","Pakistan","","","",""
"Measles",2050,4,"PAK","Pakistan","","","",""
"Measles",2051,4,"PAK","Pakistan","","","",""
"Measles",2052,4,"PAK","Pakistan","","","",""
"Measles",2053,4,"PAK","Pakistan","","","",""
"Measles",2054,4,"PAK","Pakistan","","","",""
"Measles",2000,5,"PAK","Pakistan","","","",""
"Measles",2001,5,"PAK","Pakistan","","","",""
"Measles",2002,5,"PAK","Pakistan","","","",""
"Measles",2003,5,"PAK","Pakistan","","","",""
"Measles",2004,5,"PAK","Pakistan","","","",""
